projectId,projectName,projectStatus,towers,areas,subAreas,tasks,tasksCompleted,overdueTasks,steps,stepsCompleted,contractors
cm020s1ka00051xo1o801a84e,Homeland Regalia,active,4,10,134,3590,63,18,8423,95,8
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,active,2,25,177,797,322,58,2233,606,3
cmsd0yuq300m4m8mhesi4aqc3,CRRID,active,1,3,6,27,0,15,53,5,1
