areaId,areaName,towerId,createdAt,order,areaStatus
cmsiuic7c08yzm8mhhzlarnv7,Seminar Hall,cmsd12x5e00mcm8mhi4magvsb,2026-08-07T11:12:30.792,2,active
cmsn6db5c0fkdm8mhjf9f16pr,Material Selection,cmsd12x5e00mcm8mhi4magvsb,2026-08-10T11:55:36.241,4,active
cmsiuy4qw093im8mhh4zmcq06,Toilet Block,cmsd12x5e00mcm8mhi4magvsb,2026-08-07T11:24:47.625,3,active
